country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124075328,1.0,1.0,1.0,2.0,10.0,10.0,10.0,Not a religious person,7.0,Female,1948.0,72.0,Married,Retired/pensioned
CAN,124075330,1.0,2.0,2.0,2.0,10.0,10.0,7.0,An atheist,8.0,Male,1965.0,55.0,Living together as married,Self employed
CAN,124075331,1.0,2.0,3.0,3.0,8.0,5.0,5.0,A religious person,6.0,Female,1969.0,50.0,Married,Full time
CAN,124075333,1.0,1.0,2.0,2.0,8.0,4.0,3.0,A religious person,6.0,Female,1945.0,75.0,Widowed,Retired/pensioned
CAN,124075335,1.0,1.0,1.0,2.0,7.0,6.0,6.0,A religious person,3.0,Female,1955.0,64.0,Divorced,Part time
CAN,124075336,1.0,3.0,2.0,1.0,8.0,8.0,7.0,A religious person,3.0,Male,1949.0,70.0,Married,Retired/pensioned
CAN,124075338,1.0,1.0,1.0,1.0,8.0,9.0,8.0,Not a religious person,9.0,Male,1996.0,24.0,Single,Full time
CAN,124075339,1.0,1.0,1.0,2.0,8.0,8.0,9.0,A religious person,5.0,Male,1952.0,68.0,Married,Retired/pensioned
CAN,124075340,1.0,1.0,1.0,2.0,6.0,6.0,8.0,A religious person,5.0,Female,1969.0,51.0,Married,Full time
CAN,124075342,2.0,4.0,3.0,1.0,7.0,5.0,2.0,An atheist,6.0,Male,1963.0,57.0,Married,Full time
CAN,124075343,3.0,2.0,2.0,3.0,3.0,3.0,5.0,A religious person,5.0,Female,1980.0,40.0,Divorced,Part time
CAN,124075344,2.0,2.0,2.0,1.0,6.0,7.0,3.0,Not a religious person,3.0,Male,1983.0,37.0,Married,Full time
CAN,124075349,1.0,2.0,1.0,2.0,8.0,4.0,4.0,Not a religious person,5.0,Female,1962.0,58.0,Married,Full time
CAN,124075350,1.0,1.0,1.0,2.0,7.0,6.0,3.0,Not a religious person,2.0,Female,1956.0,63.0,Divorced,Self employed
CAN,124075351,1.0,1.0,1.0,1.0,8.0,8.0,8.0,Not a religious person,5.0,Female,1950.0,69.0,Divorced,Retired/pensioned
CAN,124075352,1.0,2.0,2.0,2.0,8.0,9.0,9.0,Not a religious person,4.0,Male,1949.0,70.0,Married,Full time
CAN,124075355,1.0,1.0,2.0,3.0,7.0,8.0,7.0,A religious person,5.0,Male,1942.0,78.0,Married,Retired/pensioned
CAN,124075357,1.0,2.0,2.0,1.0,8.0,8.0,8.0,An atheist,6.0,Male,1971.0,48.0,Separated,Full time
CAN,124075358,1.0,2.0,2.0,4.0,9.0,9.0,9.0,A religious person,8.0,Male,1952.0,68.0,Married,Retired/pensioned
CAN,124075359,2.0,4.0,2.0,4.0,4.0,5.0,4.0,An atheist,5.0,Male,1970.0,50.0,Single,Homemaker not otherwise employed
CAN,124075360,3.0,2.0,2.0,2.0,7.0,5.0,4.0,Not a religious person,5.0,Male,1962.0,58.0,Divorced,Part time
CAN,124075361,1.0,1.0,1.0,2.0,7.0,5.0,4.0,Not a religious person,3.0,Female,2001.0,19.0,Single,Student
CAN,124075363,1.0,1.0,1.0,3.0,10.0,10.0,10.0,Not a religious person,7.0,Male,1955.0,65.0,Married,Retired/pensioned
CAN,124075364,1.0,3.0,2.0,1.0,7.0,5.0,5.0,A religious person,5.0,Male,1974.0,46.0,Married,Full time
CAN,124075366,2.0,2.0,2.0,2.0,7.0,7.0,7.0,Not a religious person,7.0,Male,1956.0,64.0,Divorced,Full time
CAN,124075368,1.0,1.0,2.0,1.0,8.0,8.0,7.0,A religious person,5.0,Male,1998.0,22.0,Single,Student
CAN,124075369,2.0,2.0,2.0,2.0,7.0,7.0,7.0,Not a religious person,8.0,Male,1960.0,60.0,Married,Full time
CAN,124075370,1.0,1.0,2.0,1.0,8.0,8.0,8.0,Not a religious person,5.0,Male,1977.0,43.0,Married,Full time
CAN,124075371,1.0,2.0,2.0,3.0,7.0,8.0,8.0,Not a religious person,4.0,Male,1957.0,63.0,Married,Retired/pensioned
CAN,124075372,1.0,1.0,3.0,2.0,5.0,6.0,6.0,Not a religious person,5.0,Female,1958.0,61.0,Divorced,Self employed
CAN,124075373,1.0,2.0,2.0,2.0,6.0,7.0,1.0,Not a religious person,4.0,Female,1991.0,29.0,Living together as married,Full time
CAN,124075374,2.0,3.0,2.0,1.0,8.0,6.0,8.0,A religious person,2.0,Male,1964.0,56.0,Married,Self employed
CAN,124075375,1.0,1.0,1.0,1.0,8.0,8.0,8.0,A religious person,4.0,Male,1957.0,62.0,Married,Full time
CAN,124075376,2.0,2.0,1.0,1.0,9.0,8.0,10.0,An atheist,5.0,Female,1936.0,84.0,Divorced,Retired/pensioned
CAN,124075378,1.0,2.0,2.0,3.0,8.0,9.0,7.0,Not a religious person,4.0,Male,1947.0,73.0,Married,Retired/pensioned
CAN,124075380,2.0,3.0,1.0,3.0,3.0,4.0,5.0,An atheist,2.0,Female,2001.0,18.0,Single,Student
CAN,124075381,2.0,3.0,1.0,2.0,7.0,7.0,3.0,Not a religious person,5.0,Male,1980.0,39.0,Single,Unemployed
CAN,124075382,1.0,2.0,1.0,1.0,9.0,9.0,9.0,Not a religious person,5.0,Male,1952.0,68.0,Married,Retired/pensioned
CAN,124075383,3.0,2.0,2.0,1.0,9.0,8.0,8.0,Not a religious person,7.0,Female,1994.0,26.0,Single,Full time
